TF	Target	Regulatory Mode
algR	hcnA	-
anr	hcnA	+
gacA	hcnA	+
lasR	hcnA	+
mexT	hcnA	-
qscR	hcnA	?
rhlR	hcnA	+
rpoS	hcnA	?
rsaL	hcnA	-
anr	hcnB	+
gacA	hcnB	+
lasR	hcnB	+
mexT	hcnB	-
qscR	hcnB	?
rhlR	hcnB	+
rpoS	hcnB	?
rsaL	hcnB	?
anr	hcnC	+
gacA	hcnC	+
lasR	hcnC	+
mexT	hcnC	-
qscR	hcnC	?
rhlR	hcnC	+
rpoS	hcnC	?
rsaL	hcnC	?
anr	hemA	+
dnr	hemA	+
ihf	hemA	+
narL	hemA	d
anr	hemF	+
dnr	hemF	+
anr	hemK	d
ihf	hemK	+
narL	hemK	d
anr	hemN	+
dnr	hemN	+
fur	hemO	+
fur	hemO	?
glpR	himA	-
PA2010	hmgA	-
phhR	hpd	+
iscR	hscA	-
iscR	hscB	-
cbrB	hutC	?
HutC	hutC	-
cbrB	hutG	?
HutC	hutG	-
cbrB	hutH	?
HutC	hutH	-
cbrB	hutI	?
HutC	hutI	-
cbrB	hutU	?
HutC	hutU	-
fur	icmP	+
pvdS	imm2	?
iscR	iscA	-
iscR	iscR	-
iscR	iscS	-
iscR	iscU	-
oxyR	katB	?
lasR	kynB	+
lasR	kynU	?
ampR	lasA	-
lasI	lasA	?
rhlR	lasA	?
rpoS	lasA	?
ampR	lasB	+
lasI	lasB	?
lasI	lasB	?
lasR	lasB	+
mexT	lasB	-
pprB	lasB	?
ppyR	lasB	-
qscR	lasB	?
rhlR	lasB	?
rpoS	lasB	?
rsaL	lasB	?
ampR	lasI	-
gacA	lasI	?
lasI	lasI	?
lasI	lasI	?
lasR	lasI	+
pprB	lasI	?
qscR	lasI	?
rhlR	lasI	?
rsaL	lasI 	-
rsaL	lasI	?
vfr	lasI	?
algQ	lasR	-
ampR	lasR	-
gacA	lasR	+
ihf	lasR	+
lasI	lasR	?
vfr	lasR	+
algR	ldcA	+
argR	ldcA	+
rhlR	lecA	+
rpoS	lecA	?
lexA	lexA	-
mexT	lldD	-
PA4769	lldD	-
mexT	lldP	-
PA4769	lldP	-
crc	lpdV	?
algU	lptA	+
PA2010	maiA	-
metR	metE	-
metR	metH	+
metR	metH	-
PA0547	metK	-
pmrA	metK	+
metR	metR	-
brlR	mexA	+
mexR	mexA	-
nalC	mexA	-
nalD	mexA	?
mexR	mexB	-
nalC	mexB	-
nalD	mexB	?
nfxB	mexC	?
nfxB	mexD	?
brlR	mexE	+
mexT	mexE	+
mexT	mexF	+
mvfR	mexG	?
pmrA	mexG	-
soxR	mexG	+
mvfR	mexH	?
pmrA	mexH	-
soxR	mexH	+
mvfR	mexI	?
pmrA	mexI	-
soxR	mexI	+
lasR	mexR	+
mexR	mexT	-
mexT	mexT	+
pmrA	mgtA	+
pmrA	mgtE	+
rhlR	migA	+
mmsR	mmsA	?
mmsR	mmsB	?
psrA	mmsR	+
modE	modA	-
modE	modB	-
modE	modC	-
anr	moeB	d
ihf	moeB	+
narL	moeB	d
cifR	morB	?
fur	motD	-
toxR	motD	+
cysB	msuD	+
cysB	msuE	+
crc	mtlD	?
algU	mucA	+
algU	mucB	+
anr	murI	d
ihf	murI	+
narL	murI	d
lasR	mvfR	+
mvfR	mvfR	-
rhlR	mvfR	-
PA4916	nadD	-
PA4916	nadE	-
mexR	nalC	-
anr	narG	+
dnr	narG	+
ihf	narG	+
narL	narG	?
anr	narH	+
dnr	narH	+
ihf	narH	+
narL	narH	+
anr	narI	+
dnr	narI	+
ihf	narI	+
narL	narI	+
anr	narJ	+
dnr	narJ	+
ihf	narJ	+
narL	narJ	+
anr	narK1	+
dnr	narK1	+
ihf	narK1	+
narL	narK1	+
anr	narK2	+
dnr	narK2	+
ihf	narK2	+
narL	narK2	+
anr	narL	+
dnr	narL	+
anr	narX	+
dnr	narX	+
nfxB	nfxB	-
dnr	nirC	+
dnr	nirD	+
dnr	nirF	+
dnr	nirJ	+
dnr	nirL	+
dnr	nirM	+
dnr	nirN	+
anr	nirQ	+
dnr	nirQ	+
